trial_ordinal,stimulus,aoi_w,aoi_h,aoi1_x,aoi1_y,aoi2_x,aoi2_y,target_x,target_y,global_side,local_side
1,Stim_1_Counter_Test.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
2,Stim_2_Counter_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
3,Stim_3_Counter_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
4,Stim_4_Counter_Test.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
5,Stim_5_Counter_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
6,Stim_1_Test.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
7,Stim_2_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
8,Stim_3_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
9,Stim_4_Test.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
10,Stim_5_Test.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
11,Stim_1_Counter_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
12,Stim_2_Counter_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
13,Stim_3_Counter_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
14,Stim_4_Counter_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
15,Stim_5_Counter_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
16,Stim_1_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
17,Stim_2_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
18,Stim_3_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
19,Stim_4_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,RIGHT,LEFT
20,Stim_5_Test_Flipped.jpeg,558,388,154,486,969,486,565,142,LEFT,RIGHT
