stimulus,trial_number,trial_ordinal
Stim_1_Counter_Test.jpeg,trial_1,1
Stim_2_Counter_Test.jpeg,trial_2,2
Stim_3_Counter_Test.jpeg,trial_3,3
Stim_4_Counter_Test.jpeg,trial_4,4
Stim_5_Counter_Test.jpeg,trial_5,5
Stim_1_Test.jpeg,trial_6,6
Stim_2_Test.jpeg,trial_7,7
Stim_3_Test.jpeg,trial_8,8
Stim_4_Test.jpeg,trial_9,9
Stim_5_Test.jpeg,trial_10,10
Stim_1_Counter_Test_Flipped.jpeg,trial_11,11
Stim_2_Counter_Test_Flipped.jpeg,trial_12,12
Stim_3_Counter_Test_Flipped.jpeg,trial_13,13
Stim_4_Counter_Test_Flipped.jpeg,trial_14,14
Stim_5_Counter_Test_Flipped.jpeg,trial_15,15
Stim_1_Test_Flipped.jpeg,trial_16,16
Stim_2_Test_Flipped.jpeg,trial_17,17
Stim_3_Test_Flipped.jpeg,trial_18,18
Stim_4_Test_Flipped.jpeg,trial_19,19
Stim_5_Test_Flipped.jpeg,trial_20,20
Stim_1_Counter_Sample.jpeg,trial_1,1
Stim_2_Counter_Sample.jpeg,trial_2,2
Stim_3_Counter_Sample.jpeg,trial_3,3
Stim_4_Counter_Sample.jpeg,trial_4,4
Stim_5_Counter_Sample.jpeg,trial_5,5
Stim_1_Sample.jpeg,trial_6,6
Stim_2_Sample.jpeg,trial_7,7
Stim_3_Sample.jpeg,trial_8,8
Stim_4_Sample.jpeg,trial_9,9
Stim_5_Sample.jpeg,trial_10,10
Stim_1_Counter_Sample_Flipped.jpeg,trial_11,11
Stim_2_Counter_Sample_Flipped.jpeg,trial_12,12
Stim_3_Counter_Sample_Flipped.jpeg,trial_13,13
Stim_4_Counter_Sample_Flipped.jpeg,trial_14,14
Stim_5_Counter_Sample_Flipped.jpeg,trial_15,15
Stim_1_Sample_Flipped.jpeg,trial_16,16
Stim_2_Sample_Flipped.jpeg,trial_17,17
Stim_3_Sample_Flipped.jpeg,trial_18,18
Stim_4_Sample_Flipped.jpeg,trial_19,19
Stim_5_Sample_Flipped.jpeg,trial_20,20
