Participant	Type	Iteration	Right Eye Deviation X [°]	Right Eye Deviation Y [°]	Left Eye Deviation X [°]	Left Eye Deviation Y [°]
DAVPIL4014	Validation	1	0.5	0.4	1.1	1.1
DAVPIL4015	Validation	1	0.5	0.4	0.3	0.3
DAVPIL4016	Validation	1	0.2	0.2	0.2	0.3
DAVPIL4018	Validation	1	0.5	0.3	0.5	0.2
DAVPIL4019	Validation	1	0.3	0.4	0.8	0.4
DAVPIL4020	Validation	1	0.6	0.3	0.3	0.4
DAVPIL4021	Validation	1	0.4	0.5	0.7	0.6
DAVPIL4024	Validation	1	0.2	0.1	0.2	0.3
DAVPIL4025	Validation	1	0.2	0.2	0.2	0.4
DAVPIL4026	Validation	1	0.5	0.5	0.4	0.5
DAVPIL4027	Validation	1	0.6	0.6	0.2	0.4
DAVPIL4028	Validation	1	0.3	0.2	0.2	0.6
DAVPIL4029	Validation	1	0.3	0.2	0.2	0.2
DAVPIL4031	Validation	1	0.1	0.5	0.2	0.3
DAVPIL4032	Validation	1	0.5	0.6	0.3	0.2
DAVPIL4033	Validation	1	11.1	3.4	5.5	5.8
DAVPIL4034	Validation	1	0.3	0.5	0.2	0.4
DAVPIL4035	Validation	1	0.5	0.5	0.5	0.8
DAVPIL4036	Validation	1	0.2	0.4	0.3	0.2
DAVPIL4038	Validation	1	0.6	0.4	0.4	0.5
DAVPIL4039	Validation	1	0.3	0.5	0.4	0.3
DAVPIL4041	Validation	1	0.3	0.5	0.2	0.2
DAVPIL4042	Validation	1	1.1	0.6	1.2	0.8
DAVPIL4043	Validation	1	0.2	0.2	0.2	0.1
DAVPIL4044	Validation	1	0.6	0.7	0.5	0.5
DAVPIL4045	Validation	1	0.4	0.2	0.5	0.9
DAVPIL4046	Validation	1	4.1	0.9	4.2	0.8
DAVPIL4047	Validation	1	0.1	0.3	0.2	0.2
DAVPIL4048	Validation	1	0.2	0.3	0.2	0.5
DAVPIL4051	Validation	1	0.6	0.4	0.3	0.2
DAVPIL4052	Validation	1	0.3	0.3	0.3	0.2
DAVPIL4053	Validation	1	0.3	0.2	0.3	0.3
DAVPIL4054	Validation	1	0.5	0.2	0.5	0.2
DAVPIL4056	Validation	1	0.3	0.1	0.2	0.6
DAVPIL4057	Validation	1	0.4	0.6	0.3	0.3
DAVPIL4058	Validation	1	0.4	0.3	0.3	0.4
DAVPIL4059	Validation	1	0.1	0.2	0.2	0.1
DAVPIL4061	Validation	1	0.5	3.9	0.7	3.8
DAVPIL4062	Validation	1	0.4	0.3	0.3	0.6
DAVPIL4063	Validation	1	0.2	0.8	0.3	0.4
DAVPIL4064	Validation	1	0.2	0.4	0.3	0.3
DAVPIL4065	Validation	1	2.1	0.6	2.6	0.5
DAVPIL4069a	Validation	1	0.3	0.3	0.4	0.3
DAVPIL4071	Validation	1	0.1	0.2	0.2	0.5
DAVPIL4073	Validation	1	0.4	0.4	0.3	0.5
DAVPIL4074	Validation	1	0.5	0.6	0.3	0.7
DAVPIL4077	Validation	1	0.2	0.3	0.3	0.2
DAVPIL4078	Validation	1	0.4	0.4	0.3	0.1
DAVPIL4080	Validation	1	0.3	0.1	0.5	0.3
DAVPIL4081	Validation	1	0.4	0.2	0.5	0.1
DAVPIL4082	Validation	1	0.4	0.5	0.5	0.1
P4084	Validation	1	0.4	0.2	0.4	0.5
DAVPIL4085	Validation	1	0.4	0.6	0.3	0.3
DAVPIL4086	Validation	1	0.2	0.3	0.6	0.3
DAVPIL4087	Validation	1	0.6	0.3	0.4	0.3
DAVPIL4088	Validation	1	0.4	0.1	0.3	0.3
DAVPil4089	Validation	1	0.3	0.6	0.5	0.4
DAVPIL4090	Validation	1	0.4	0.7	0.3	0.6
DAVPIL4091	Validation	1	0.4	0.1	0.3	0.2
DAVPIL4092	Validation	1	0.4	0.5	0.3	0.5
DAVPIL4093	Validation	1	0.3	0.2	0.2	0.3
DAVPIL4094	Validation	1	0.7	1.1	0.4	0.5
DAVPIL4095	Validation	1	2.1	1.0	2.1	1.5
DAVPIL4096	Validation	1	0.7	0.8	0.5	0.4
DAVPIL4097	Validation	1	0.3	0.5	0.2	0.5
DAVPIL4098	Validation	1	0.5	0.4	0.3	0.4
DAVPIL4099	Validation	1	0.2	0.5	0.3	0.2
DAVPIL4101	Validation	1	0.2	0.1	0.2	0.1
DAVPIL4102	Validation	1	0.4	0.6	0.6	1.0
DAVPIL1043	Validation	1	0.4	0.6	0.7	0.4
DAVPIL4104	Validation	1	0.8	0.6	1.0	0.9
DAVPIL4105	Validation	1	0.2	0.3	0.3	0.4
DAVPIL4107_b	Validation	1	0.6	0.4	0.2	0.5
DAVPIL4108	Validation	1	0.7	0.6	0.5	1.1
DAVPIL4109	Validation	1	0.8	0.7	0.6	0.4
DAVPIL4110	Validation	1	0.6	0.9	1.2	0.7
DAVPIL4112	Validation	1	0.5	0.2	0.5	0.3
DAVPIl4114	Validation	1	4.7	2.1	4.6	0.4
DAVPIL4115	Validation	1	0.3	0.4	0.3	0.3
DAVPIL4116	Validation	1	4.2	34.1	9.1	36.3
DAVPIL4117	Validation	1	4.4	2.2	4.5	2.7
DAVPIL4118	Validation	1	0.2	0.9	0.3	0.8
DAVPIL4119	Validation	1	0.4	0.5	0.3	0.4
DAVPIL4120	Validation	1	0.2	0.6	0.3	0.4
DAVPIL4121	Validation	1	0.4	0.5	0.5	0.5
DAVPIL4122	Validation	1	0.3	0.4	0.3	0.3
DAVPIL4123	Validation	1	0.3	0.3	0.2	0.3
DAVPIL4125	Validation	1	0.4	0.4	0.2	0.3
