participant,sex,age_months,age_group,version,race,Hispanic,testing_date,maternal_education
DAVPIL4014,M,36.35,36,Global Local w/VSTM V2,White,No,2019-01-31,4 yr degree from a college/University
DAVPIL4015,F,18.09,18,Global Local w/VSTM V2,Asian,No,2019-02-01,"Doctoral Degree (Ph.D., M.D., etc.)"
DAVPIL4016,M,18.26,18,Global Local w/VSTM V2,White,No,2019-02-04,Master's Degree
DAVPIL4018,F,36.15,36,Global Local w/VSTM V2,"Asian,White",No,2019-02-08,4 yr degree from a college/University
DAVPIL4019,M,18.22,18,Global Local w/VSTM V2,White,Yes,2019-02-09,Master's Degree
DAVPIL4020,M,35.89,36,Global Local w/VSTM V2,White,No,2019-02-13,4 yr degree from a college/University
DAVPIL4021,M,18.22,18,Global Local w/VSTM V2,White,No,2019-02-15,4 yr degree from a college/University
DAVPIL4024,M,47.99,48,Global Local w/VSTM V2,White,No,2019-03-04,4 yr degree from a college/University
DAVPIL4025,M,25.99,24,Global Local w/VSTM V2,Unknown,Yes,2019-03-04,Some college
DAVPIL4026,M,41.88,42,Global Local w/VSTM V2,American Indian/Alaskan Native,No,2019-03-08,4 yr degree from a college/University
DAVPIL4027,F,18.26,18,Global Local w/VSTM V2,White,No,2019-03-08,4 yr degree from a college/University
DAVPIL4028,M,48.16,48,Global Local w/VSTM V2,Asian,No,2019-03-09,4 yr degree from a college/University
DAVPIL4029,M,18.45,18,Global Local w/VSTM V2,White,No,2019-03-11,Master's Degree
DAVPIL4031,F,24.14,24,Global Local w/VSTM V2,Asian,No,2019-03-12,"Doctoral Degree (Ph.D., M.D., etc.)"
DAVPIL4033,F,18.52,18,Global Local w/VSTM V2,"Asian,White",No,2019-03-14,4 yr degree from a college/University
DAVPIL4034,M,24.38,24,Global Local w/VSTM V2,White,Yes,2019-03-21,Some college
DAVPIL4035,F,18.42,18,Global Local w/VSTM V2,"American Indian/Alaskan Native,Native Hawaiian or other Pacific Islander,White",No,2019-03-25,4 yr degree from a college/University
DAVPIL4036,M,18.36,18,Global Local w/VSTM V2,White,No,2019-03-25,Some college
DAVPIL4038,M,18.42,18,Global Local w/VSTM V2,White,No,2019-04-02,4 yr degree from a college/University
DAVPIL4039,F,42.11,42,Global Local w/VSTM V2,American Indian/Alaskan Native,Yes,2019-04-08,Master's Degree
DAVPIL4041,F,36.28,36,Global Local w/VSTM V2,White,No,2019-04-24,4 yr degree from a college/University
DAVPIL4042,F,29.7,30,Global Local w/VSTM V2,"Asian,White",No,2019-04-25,4 yr degree from a college/University
DAVPIL4043,M,12.24,12,Global Local w/VSTM V2,"Asian,White",No,2019-04-25,"Doctoral Degree (Ph.D., M.D., etc.)"
DAVPIL4044,M,42.2,42,Global Local w/VSTM V2,"Native Hawaiian or other Pacific Islander,White,Asian",No,2019-04-27,4 yr degree from a college/University
DAVPIL4045,F,24.41,24,Global Local w/VSTM V2,White,Yes,2019-04-27,4 yr degree from a college/University
DAVPIL4046,F,23.88,24,Global Local w/VSTM V2,"White, Asian",No,2019-04-30,Master's Degree
DAVPIL4047,M,42.24,42,Global Local w/VSTM V2,White,No,2019-04-30,Some college
DAVPIL4048,F,12.4,12,Global Local w/VSTM V2,White,Yes,2019-05-02,Master's Degree
DAVPIL4051,M,12.2,12,Global Local w/VSTM V2,"Asian,White",No,2019-05-07,4 yr degree from a college/University
